run_id,round,model,model_short,seed,num_agents,num_rounds,num_liars,liar_share,stag_success_threshold,order_ablation,adversary_ablation,heterogeneity_ablation,original_stag_count,public_stag_count,honest_original_stag_rate,liar_original_stag_rate,public_success,honest_realized_payoff,honest_truthful_payoff,intended_success,shared_success,flip_induced_loss,flip_induced_rescue,shared_failure,honest_mechanical_payoff_gap
stag_hunt_simulation_deepseek_20260302_0001_02da9219aa67,1,openai/deepseek-v3.2-think,deepseek-v3.2-think,1408,5,2,4,0.8,2,a1,base,h1,5,1,1.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,4.0
stag_hunt_simulation_deepseek_20260302_0001_02da9219aa67,2,openai/deepseek-v3.2-think,deepseek-v3.2-think,1408,5,2,4,0.8,2,a1,base,h1,3,1,0.0,0.75,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
stag_hunt_simulation_deepseek_20260302_0001_077c172c7fc7,1,openai/deepseek-v3.2-think,deepseek-v3.2-think,1348,2,4,1,0.5,2,a1,base,h1,2,1,1.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,4.0
stag_hunt_simulation_deepseek_20260302_0001_077c172c7fc7,2,openai/deepseek-v3.2-think,deepseek-v3.2-think,1348,2,4,1,0.5,2,a1,base,h1,0,1,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
stag_hunt_simulation_deepseek_20260302_0001_077c172c7fc7,3,openai/deepseek-v3.2-think,deepseek-v3.2-think,1348,2,4,1,0.5,2,a1,base,h1,2,1,1.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,4.0
stag_hunt_simulation_deepseek_20260302_0001_077c172c7fc7,4,openai/deepseek-v3.2-think,deepseek-v3.2-think,1348,2,4,1,0.5,2,a1,base,h1,0,1,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
stag_hunt_simulation_deepseek_20260302_0001_0903575ee97f,1,openai/deepseek-v3.2-think,deepseek-v3.2-think,1382,5,1,2,0.4,4,a1,base,h1,4,2,0.6666666666666666,1.0,0.0,0.6666666666666666,3.3333333333333335,1.0,0.0,1.0,0.0,0.0,2.666666666666667
stag_hunt_simulation_deepseek_20260302_0001_09bd4d67c3c5,1,openai/deepseek-v3.2-think,deepseek-v3.2-think,1356,3,4,1,0.3333333333333333,2,a1,base,h1,3,2,1.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
stag_hunt_simulation_deepseek_20260302_0001_09bd4d67c3c5,2,openai/deepseek-v3.2-think,deepseek-v3.2-think,1356,3,4,1,0.3333333333333333,2,a1,base,h1,3,2,1.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
stag_hunt_simulation_deepseek_20260302_0001_09bd4d67c3c5,3,openai/deepseek-v3.2-think,deepseek-v3.2-think,1356,3,4,1,0.3333333333333333,2,a1,base,h1,3,2,1.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
stag_hunt_simulation_deepseek_20260302_0001_09bd4d67c3c5,4,openai/deepseek-v3.2-think,deepseek-v3.2-think,1356,3,4,1,0.3333333333333333,2,a1,base,h1,3,2,1.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
stag_hunt_simulation_deepseek_20260302_0001_0a0415462495,1,openai/deepseek-v3.2-think,deepseek-v3.2-think,1359,3,1,2,0.6666666666666666,2,a1,base,h1,2,0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
stag_hunt_simulation_deepseek_20260302_0001_0a137ec8d325,1,openai/deepseek-v3.2-think,deepseek-v3.2-think,1395,5,2,3,0.6,1,a1,base,h1,5,2,1.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
stag_hunt_simulation_deepseek_20260302_0001_0a137ec8d325,2,openai/deepseek-v3.2-think,deepseek-v3.2-think,1395,5,2,3,0.6,1,a1,base,h1,5,2,1.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
stag_hunt_simulation_deepseek_20260302_0001_12f9e7a4849d,1,openai/deepseek-v3.2-think,deepseek-v3.2-think,1367,5,1,1,0.2,1,a1,base,h1,5,4,1.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
